Cristina Rueda Catry,European farmers
Michael Hager,European farmers
Cristina Rueda Catry,European agri-cooperatives
Michael Hager,European agri-cooperatives
Cristina Rueda Catry,FoodDrinkEurope
Michael Hager,FoodDrinkEurope
Elina Melngaile,UPS Europe SRL/BV
Helena Braun,ClientEarth AISBL
Anthony Whelan,SafeToNet
Charmaine Hili,SafeToNet
Magdalena Majerczyk,Slow Food Deutschland e. V.
Janusz Wojciechowski (Commissioner),Slow Food Deutschland e. V.
Magdalena Majerczyk,Slow Food
Janusz Wojciechowski (Commissioner),Slow Food
Janusz Wojciechowski (Commissioner),Conseil Européen des Jeunes Agriculteurs
Magdalena Majerczyk,Conseil Européen des Jeunes Agriculteurs
Astrid Dentler,European Social Insurance Platform AISBL
Astrid Dentler,European Federation for Services to Individuals
Astrid Dentler,European Federation for Family Employment - Fédération européenne des emplois de la famille
Gaëlle Michelier,ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU
Gaëlle Michelier,eu travel tech
Gaëlle Michelier,General Aviation Manufacturers Association
Adina-Ioana Vălean (Commissioner),General Aviation Manufacturers Association
Valdis Dombrovskis (Executive Vice-President),Bundesverband der Deutschen Industrie e.V.
Anthony Whelan,European Telecommunications Network Operators' Association
Kurt Vandenberghe,Friends of Europe
Alina-Stefania Ujupan,AbbVie
Werner Stengg,NOVE
Werner Stengg,Adobe Systems Benelux bv
Werner Stengg,Telefonica, S.A.
Werner Stengg,BANCO BILBAO VIZCAYA ARGENTARIA
Estelle Göger,Global Citizen
Diederik Samsom,Pensioenfederatie (Federation of the Dutch Pension Funds)
Helena Braun,Fern
Sarah Nelen,Vlaams - Europees verbindingsagentschap
Laurent Bontoux,World Leadership Alliance-Club de Madrid
Adela Kabrtova,Norwegian Refugee Council Europe
Mateja Munda,Norwegian Refugee Council Europe
Nora Bednarski,European Federation for Services to Individuals
Lukas Visek,Naturschutzbund Deutschland e.V.
Lukas Visek,Greenpeace European Unit
Lukas Visek,Stichting BirdLife Europe
Lukas Visek,European Environmental Bureau
Annukka Ojala,European Policy Centre
Natalie Pauwels,Norwegian Refugee Council Europe
Florian Denis,Gesamtverband der Deutschen Versicherungswirtschaft e.V.
Margaritis Schinas (Vice-President),Erasmus Student Network
Catherine Sustek,Erasmus Student Network
Janusz Wojciechowski (Commissioner),Union Européenne du Commerce du Bétail et des Métiers de la Viande
Roberto Berutti,Union Européenne du Commerce du Bétail et des Métiers de la Viande
Lucrezia Busa,Schibsted ASA
Werner Stengg,Seznam.cz, a.s.
Werner Stengg,United Internet AG
Werner Stengg,Booking.com B.V.
Frans Timmermans (Executive Vice-President),European Round Table for Industry
Frans Timmermans (Executive Vice-President),KLM Royal Dutch Airlines
Věra Jourová (Vice-President),European Newspaper Publishers' Association
Věra Jourová (Vice-President),European Magazine Media Association
Kadri Simson (Commissioner),Schneider Electric
Laure Chapuis-Kombos,Schneider Electric
Stefano Grassi,Schneider Electric
Thor-Sten Vertmann,Schneider Electric
Mariya Gabriel (Commissioner),European Network for Traveller Education
Elzbieta Lukaniuk,FlixMobility
Thierry Breton (Commissioner),Planet Labs Germany
Thierry Breton (Commissioner),Schneider Electric
Eszter Batta,Schneider Electric
Kurt Vandenberghe,SANOFI
Peter Power,EUTurbines
Katherine Power,EUTurbines
Thierry Breton (Commissioner),DASSAULT AVIATION
Fabrice Comptour,DASSAULT AVIATION
Valdis Dombrovskis (Executive Vice-President),BUSINESSEUROPE
Ursula von der Leyen (President),Bill & Melinda Gates Foundation
Alina-Stefania Ujupan,Ericsson
Kim Jorgensen,Ericsson
Andrea Beltramello,European Chemical Industry Council
Didier Reynders (Commissioner),Google
Lucrezia Busa,Google
Kim Jorgensen,DIGITALEUROPE
Werner Stengg,DIGITALEUROPE
Agnieszka Skonieczna,Groupement Européen des Sociétés d'Auteurs et Compositeurs
Filomena Chirico,ECTA
Věra Jourová (Vice-President),Centre for European Reform
Věra Jourová (Vice-President),Alliance internationale de journalistes
Tommy De Temmerman,Finance Denmark
Peter Power,Finance Denmark
Mairead McGuinness (Commissioner),European Banking Federation
Maroš Šefčovič (Vice-President),World Economic Forum
Renáta Goldírová,World Economic Forum
Gaëlle Michelier,Gates Ventures, LLC
Geneviève Tuts,EuropeanIssuers
Lucrezia Busa,EuropeanIssuers
Maciej Golubiewski,Związek Przedsiębiorców i Pracodawców
Walter Goetz,Airbus
Gaëlle Michelier,Airbus
Aleksandra Tomczak,Roundtable for Europe's Energy Future
Riccardo Maggi,Roundtable for Europe's Energy Future
Aleksandra Tomczak,DTEK
Lucrezia Busa,Investor AB
Didier Reynders (Commissioner),Investor AB
Werner Stengg,Bitkom e.V.
Christiane Canenbley,Bitkom e.V.
Marius  Vaščega ,Fundación Mujeres por África
Věra Jourová (Vice-President),Adobe Systems Benelux bv
Tommy De Temmerman,Gesamtverband der Deutschen Versicherungswirtschaft e.V.
Tommy De Temmerman,Associazione Nazionale fra le Imprese Assicuratrici
Tommy De Temmerman,Fédération Française de l'Assurance
Mairead McGuinness (Commissioner),European Retail Financial Forum
Estelle Göger,Eurocities
Mariya Gabriel (Commissioner),MedienLB - Medien für Lehrpläne und Bildungsstandards GmbH
Johannes Hahn (Commissioner),Deutsche Bank AG
Lukas Visek,EUROPEUM Institute for European Policy
Michael Hager,Green 10
Andrea Beltramello,Green 10
Frans Timmermans (Executive Vice-President),The Club of Rome
Frans Timmermans (Executive Vice-President),Greenpeace European Unit
Carlos Morais-Pires,European Technology Platform for organic food and farming
Diederik Samsom,Shell Companies
Janez Lenarčič (Commissioner),EUROPEUM Institute for European Policy
Adela Kabrtova,EUROPEUM Institute for European Policy
Kim-Tobias Eling,Norwegian Refugee Council Europe
Kim-Tobias Eling,Egmont Institute
Daniel Mes,Transport and Environment (European Federation for Transport and Environment)
Stefanie Hiesinger,Transport and Environment (European Federation for Transport and Environment)
Asa Webber,Amnesty International Limited
Brian Synnott,Amnesty International Limited
Raul Hernandez Sagrera,Amnesty International Limited
Alexandra Cupsan-Catalin,Amnesty International Limited
Tom Snels,Amnesty International Limited
Lucrezia Busa,BUSINESSEUROPE
Geneviève Tuts,BUSINESSEUROPE
Stella Kyriakides (Commissioner),EUFAMI
Gaëlle Michelier,Airlines for Europe
Filip Alexandru Negreanu Arboreanu,Airlines for Europe
Roxana Lesovici,European Community Shipowners' Associations
Anthony Whelan,Apple Inc.
Jorge Pinto Antunes,European Network of Heads of Nature Conservation Agencies
Kim Jorgensen,European Wireless Infrastructure Association
Alina-Stefania Ujupan,European Wireless Infrastructure Association
Alina-Stefania Ujupan,EUROPE'S MEDIALAB (Fondation EURACTIV)
Andrea Beltramello,EPIA SolarPower Europe
Werner Stengg,BT Group plc
Thierry Breton (Commissioner),Association of Commercial Television and Video on Demand Services in Europe
Agnieszka Skonieczna,Association of Commercial Television and Video on Demand Services in Europe
Věra Jourová (Vice-President),Association of Commercial Television and Video on Demand Services in Europe
Ursula von der Leyen (President),Gemeinnützige Hertie-Stiftung
Ursula von der Leyen (President),Institut Montaigne
Anouk Faber,Council of European Employers of the Metal, Engineering and Technology-based Industries
Christoph Nerlich,Council of European Employers of the Metal, Engineering and Technology-based Industries
Anouk Faber,industriAll European Trade Union
Christoph Nerlich,industriAll European Trade Union
Lukas Visek,Hague Corporate Affairs
Carlos Morais-Pires,Water Europe
Diederik Samsom,Netherlands Organisation for Applied Scientific Research TNO
Frauke Hoss,Bureau Européen des Unions de Consommateurs
Helena Braun,SC Johnson
Didier Reynders (Commissioner),Le Club des juristes
Isabelle Perignon,Le Club des juristes
Ines Prainsack,European Brain Council
Panayiotis Pourgourides,European Brain Council
Ines Prainsack,European Academy of Neurology
Panayiotis Pourgourides,European Academy of Neurology
Ines Prainsack,European Federation of Neurological Associations
Panayiotis Pourgourides,European Federation of Neurological Associations
Andrea Beltramello,Northvolt
Katherine Power,EPIA SolarPower Europe
Elzbieta Lukaniuk,Polish Confederation Lewiatan
Brian Synnott,Energiföretagen /  Swedenergy
Monika Maglione,Google
Tom Snels,Google
Elzbieta Lukaniuk,ÖBB-Holding AG
Deirdre O’Hea,American Chamber of Commerce Ireland
Mairead McGuinness (Commissioner),American Chamber of Commerce Ireland
Katherine Power,Nord Stream 2 AG
Peter Power,Nord Stream 2 AG
Katherine Power,Brunswick Group Advisory Limited
Peter Power,Brunswick Group Advisory Limited
Katherine Power,International Association of Oil & Gas Producers Europe
Peter Power,International Association of Oil & Gas Producers Europe
Maciej Golubiewski,International Nut and Dried Fruit Council Foundation
Katherine Power,Raiffeisen Bank International AG
Kurt Vandenberghe,Stichting European Climate Foundation
Thor-Sten Vertmann,Eurelectric aisbl
Kadri Simson (Commissioner),Eurelectric aisbl
Renaud Savignat,CONCORD Europe
Alvaro De Elera,Transparency International Liaison Office to the European Union
Werner Stengg,Bureau Européen des Unions de Consommateurs
Werner Stengg,AMADEUS IT GROUP S.A.
Nicolas Schmit (Commissioner),Boerenbond vzw
Eugenia Dumitriu-Segnana,Boerenbond vzw
Anouk Faber,Boerenbond vzw
Nicolas Schmit (Commissioner),European Transport Workers' Federation
Antoine Kasel,European Transport Workers' Federation
Adina-Ioana Vălean (Commissioner),American Chamber of Commerce to the European Union
Roxana Lesovici,American Chamber of Commerce to the European Union
Věra Jourová (Vice-President),Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Mariya Gabriel (Commissioner),Forschungszentrum Jülich GmbH
Diederik Samsom,Stichting Katholieke Universiteit Tilburg
Diederik Samsom,The European Association for Electromobility
Jutta Urpilainen (Commissioner),CONCORD Europe
Adam Romanowski,Verein zur Förderung des Bergmannstages, der Rohstoffinitiative sowie der Aus- und Weiterbildung auf dem Gebiet der Rohstoffe
Renáta Goldírová,Verein zur Förderung des Bergmannstages, der Rohstoffinitiative sowie der Aus- und Weiterbildung auf dem Gebiet der Rohstoffe
Helena Braun,Zero Waste Europe
Helena Braun,ClientEarth AISBL
Dubravka Šuica (Vice-President),European LEADER Association for Rural Development
Damyana Stoynova,European Policy Centre
Mateja Munda,Voluntary Organisations in Cooperation in Emergencies
Jérôme Deslandes,BNP PARIBAS
Michael Hager,BNP PARIBAS
Kurt Vandenberghe,Gates Ventures, LLC
Anthony Whelan,GIGAEurope aisbl
Jutta Urpilainen (Commissioner),Metsäliitto Cooperative
Renaud Savignat,Wellcome Trust
Werner Stengg,EBU-UER (European Broadcasting Union)
Kim Jorgensen,Deutsche Gesellschaft für Auswärtige Politik e.V.
Věra Jourová (Vice-President),Reporters sans frontières
Eszter Batta,SANOFI
Thierry Breton (Commissioner),SANOFI
Antoine Kasel,SMEunited aisbl
Nicolas Schmit (Commissioner),SMEunited aisbl
Anouk Faber,SMEunited aisbl
Ana Carla  Pereira,SMEunited aisbl
Antoine Kasel,BUSINESSEUROPE
Nicolas Schmit (Commissioner),BUSINESSEUROPE
Anouk Faber,BUSINESSEUROPE
Ana Carla  Pereira,BUSINESSEUROPE
Antoine Kasel,SGI Europe
Nicolas Schmit (Commissioner),SGI Europe
Anouk Faber,SGI Europe
Ana Carla  Pereira,SGI Europe
Antoine Kasel,EUROPEAN TRADE UNION CONFEDERATION
Nicolas Schmit (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Anouk Faber,EUROPEAN TRADE UNION CONFEDERATION
Ana Carla  Pereira,EUROPEAN TRADE UNION CONFEDERATION
Marius  Vaščega ,Stichting BirdLife Europe
Věra Jourová (Vice-President),Google
Frans Timmermans (Executive Vice-President),Mouvement des Entreprises de France
Chiara Salvelli,Gates Ventures, LLC
Carlos Morais-Pires,Gates Ventures, LLC
Diederik Samsom,Climate Action Network Europe
Stefanie Hiesinger,Verband der Kali- und Salzindustrie e.V.
Stefanie Hiesinger,K+S Aktiengesellschaft
Renaud Savignat,Wellcome Trust
Filomena Chirico,EBU-UER (European Broadcasting Union)
Agnieszka Skonieczna,EBU-UER (European Broadcasting Union)
Johannes Hahn (Commissioner),voestalpine AG
Agnieszka Skonieczna,Beta Film
Thierry Breton (Commissioner),Beta Film
Filomena Chirico,Canon Europe Ltd.
Filomena Chirico,DIGITALEUROPE
Filomena Chirico,Bitkom e.V.
Filomena Chirico,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Filomena Chirico,Amazon Europe Core SARL
Filomena Chirico,Cisco Systems Inc.
Florian Denis,Raiffeisen Bank International AG
Kim Jorgensen,MEDICINES FOR EUROPE
Werner Stengg,EUROPEAN HOTEL FORUM
Werner Stengg,DIGITALEUROPE
Simona Constantin,European Movement International
Renate Nikolay,European Movement International
Mairead McGuinness (Commissioner),Bureau Européen des Unions de Consommateurs
Mairead McGuinness (Commissioner),GROUPE D'INITIATIVE ITALIENNE
Ursula von der Leyen (President),WeProtect Global Alliance
Lora Borissova,Appel de Genève / Geneva Call
Mairead McGuinness (Commissioner),European Movement Ireland
Lukas Visek,European Alliance for Plant-based Foods
Adam Romanowski,BASF SE
Maroš Šefčovič (Vice-President),BASF SE
Despina Spanou,Microsoft Corporation
Catherine Sustek,Microsoft Corporation
Estelle Göger,WWF European Policy Programme
Kim-Tobias Eling,Norwegian Refugee Council Europe
Natalie Pauwels,Norwegian Refugee Council Europe
Helena Braun,Water Europe
Gaëlle Michelier,Global Business Travel Association
Ines Prainsack,Animal Task Force
Panayiotis Pourgourides,Animal Task Force
Anthony Agotha,Third Generation Environmentalism Ltd
Mathieu Briens,International alliance for the protection of heritage in conflict areas
Agnieszka Skonieczna,Lov Group Invest
Thierry Breton (Commissioner),Lov Group Invest
Jorge Pinto Antunes,Alber & Geiger
Anthony Whelan,HERMES INTERNATIONAL
Florian Denis,JPMorgan Chase & Co.
Werner Stengg,Kaupan liitto ry - Finnish Commerce Federation
Werner Stengg,Schibsted ASA
Nele Eichhorn,ASD-Eurospace
Alejandro Cainzos,ASD-Eurospace
Yizhou Ren,Hydrogen Europe
Daniel Braun,Evropské hodnoty z.s.
Věra Jourová (Vice-President),Centre for Democracy & Technology, Europe
Renate Nikolay,Spotify
Anouk Faber,European Youth Forum
Christoph Nerlich,European Youth Forum
Marius  Vaščega ,Climate Action Network Europe
Lukas Visek,Union Européenne du Commerce du Bétail et des Métiers de la Viande
Frans Timmermans (Executive Vice-President),Green 10
Adela Kabrtova,CARE International Aisbl
Janez Lenarčič (Commissioner),CARE International Aisbl
Andrea Nahles,Deutscher Gewerkschaftsbund
Andrea Nahles,European Federation of Public Service Unions
Andrea Nahles,European Transport Workers' Federation
Andrea Nahles,European Trade Union Committee for Education
Andrea Nahles,European Federation of Food, Agriculture and Tourism Trade Unions
Andrea Nahles,FH Europe
Andrea Nahles,Confederazione Generale Italiana del Lavoro
Andrea Nahles,Niezależny Samorządny Związek Zawodowy "Solidarność"
Andrea Nahles,EUROPEAN FEDERATION OF BUILDING AND WOODWORKERS
Andrea Nahles,industriAll European Trade Union
Andrea Nahles,Fédération Générale du Travail de Belgique - Algemeen Belgisch Vakverbond
Andrea Nahles,European Association for the Education of Adults
Andrea Nahles,UNI Europa
Pedro Serrano De Haro,ACK3 CONSULTORIA DE RIESGOS GLOBALES SL
Filomena Chirico,Bureau Européen des Unions de Consommateurs
Estelle Göger,SDG Watch Europe
Juraj Nociar,Jaguar Land Rover Limited
Andrea Beltramello,amfori - Trade with Purpose
Elina Melngaile,amfori - Trade with Purpose
Elisa Ferreira (Commissioner),European Entrepreneurs CEA-PME
Gaëlle Michelier,Arbeitsgemeinschaft deutscher Verkehrsflughäfen
Walter Goetz,Arbeitsgemeinschaft deutscher Verkehrsflughäfen
Daniel Mes,Mobility for Prosperity in Europe
Daniel Mes,Transport en Logistiek Nederland
Despina Spanou,European Healthcare Distribution Association
Gaëlle Michelier,eu travel tech
Elzbieta Lukaniuk,eu travel tech
Adina-Ioana Vălean (Commissioner),FlixBus Italia
Elzbieta Lukaniuk,FlixBus Italia
Thierry Breton (Commissioner),European Internet Forum
Agnieszka Skonieczna,European Internet Forum
Thierry Breton (Commissioner),Booking.com B.V.
Thierry Breton (Commissioner),Google
Jorge Pinto Antunes,Planet Labs Germany
Alienor Margerit,Blic Oy
Lucrezia Busa,LVMH Publica
Werner Stengg,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Margrethe Vestager (Executive Vice-President),European Round Table for Industry
Tommy De Temmerman,Associazione Bancaria Italiana
Peter Power,Associazione Bancaria Italiana
Renate Nikolay,Society of European Affairs Professionals
Diederik Samsom,Vereniging VNO-NCW
Adela Kabrtova,World Economic Forum
Janez Lenarčič (Commissioner),World Economic Forum
Andrea Nahles,Deutscher Gewerkschaftsbund
Andrea Nahles,Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.
Ruben Alexander Schuster,WindEurope
Mairead McGuinness (Commissioner),Deutsche Bank AG
Daniel Mes,ProRail
Thierry Breton (Commissioner),Vodafone Belgium SA
Raul Hernandez Sagrera,European Policy Centre
Věra Jourová (Vice-President),International Bar Association
Florian Denis,Insurance Europe
Tommy De Temmerman,Insurance Europe
Marius  Vaščega ,Equinor ASA
Marie Frenay,Alliance internationale de journalistes
Lukas Visek,European Plant-based Foods Association
Mariya Gabriel (Commissioner),European Arenas Association
Helena Braun,European Chemical Industry Council
Antoine Colombani,European Chemical Industry Council
Carole Mancel-Blanchard,SGI Europe
Filomena Chirico,Zalando SE
Filomena Chirico,DIGITALEUROPE
Lucia Caudet,Bundesverband der Deutschen Industrie e.V.
Helena Braun,European Landowners'  Organization asbl
Helena Braun,WWF European Policy Programme
Alexandra Cupsan-Catalin,European Policy Centre
Ylva Johansson (Commissioner),European Policy Centre
Kadri Simson (Commissioner),IBERDROLA
Laure Chapuis-Kombos,IBERDROLA
Kitti Nyitrai,IBERDROLA
Stefano Grassi,IBERDROLA
Daniel Mes,European Sea Ports Organisation
Nathalie De Basaldua Lemarchand,McKinsey Global Institute
Katherine Power,McKinsey Global Institute
Annukka Ojala,World Economic Forum
Ines Prainsack,World Economic Forum
Renaud Savignat,AIM - European Brands Association
Nicolas Hazard,Confédération générale des Scop
Diana Montero Melis,CAOBISCO
Diana Montero Melis,European Cocoa Association
Jutta Urpilainen (Commissioner),European Partnership for Democracy
Jutta Urpilainen (Commissioner),European Network of Political Foundations
Jutta Urpilainen (Commissioner),Open Society European Policy Institute
Jutta Urpilainen (Commissioner),Carnegie Europe
Jutta Urpilainen (Commissioner),Reporters sans frontières
Jutta Urpilainen (Commissioner),Transparency International Liaison Office to the European Union
Lucia Caudet,Bundesverband der Deutschen Industrie e.V.
Thierry Breton (Commissioner),Bundesverband der Deutschen Industrie e.V.
Anthony Whelan,IP2Innovate
Werner Stengg,EUROPE'S MEDIALAB (Fondation EURACTIV)
Werner Stengg,Allegro sp. z o.o.
Nele Eichhorn,Planet Labs Germany
Alina-Stefania Ujupan,University of Cambridge
Nele Eichhorn,University of Cambridge
Tommy De Temmerman,Insurance Ireland
Agnieszka Drzewoska,Insurance Ireland
Agnieszka Drzewoska,European Federation of Investors and Financial Services Users
Florian Denis,European Federation of Investors and Financial Services Users
Wojtek Talko,Schibsted ASA
Andrea Beltramello,Verband Deutscher Maschinen- und Anlagenbau e.V.
Stefanie Hiesinger,International Federation of Industrial Energy Consumers
Riccardo Maggi,International Federation of Industrial Energy Consumers
Daniel Mes,Airbus
Katherine Power,Verband Deutscher Maschinen- und Anlagenbau e.V.
Filip Alexandru Negreanu Arboreanu,Gas Distributors for Sustainability
Ines Prainsack,Euro Foie Gras
Panayiotis Pourgourides,Euro Foie Gras
Karolina Herbout-Borczak,Euro Foie Gras
Ines Prainsack,Union Européenne du Commerce du Bétail et des Métiers de la Viande
Annukka Ojala,Union Européenne du Commerce du Bétail et des Métiers de la Viande
Elzbieta Lukaniuk,Waymo
Jorge Pinto Antunes,European Producers Union of Renewable Ethanol
Stella Kyriakides (Commissioner),European Chemical Industry Council
Stella Kyriakides (Commissioner),Vaccines Europe
Stella Kyriakides (Commissioner),European Confederation of Pharmaceutical Entrepreneurs
Stella Kyriakides (Commissioner),European Federation of Pharmaceutical Industries and Associations
Stella Kyriakides (Commissioner),MEDICINES FOR EUROPE
Stella Kyriakides (Commissioner),MedTech Europe
Stella Kyriakides (Commissioner),European Coordination Committee of the Radiological, Electromedical and healthcare IT Industry
Stella Kyriakides (Commissioner),Association of the European Self-Care Industry
Aleksandra Tomczak,Stichting World Benchmarking Alliance Foundation
Lucrezia Busa,Avaaz Foundation
Christiane Canenbley,Google
Werner Stengg,Google
Werner Stengg,European Digital Rights
Werner Stengg,Access Now
Werner Stengg,epicenter.works - Plattform Grundrechtspolitik
Margrethe Vestager (Executive Vice-President),Confederation of Danish Industry
Karolina Herbout-Borczak,MEDICINES FOR EUROPE
Wojtek Talko,TikTok Technology Ltd
Daniel Braun,TikTok Technology Ltd
Ursula von der Leyen (President),A.P. Møller - Mærsk A/S
Ursula von der Leyen (President),AIR LIQUIDE
Ursula von der Leyen (President),Volvo AB
Ursula von der Leyen (President),Siemens AG
Diederik Samsom,Universiteit Leiden
Damyana Stoynova,European Union Chamber of Commerce in China
Diederik Samsom,European Union Chamber of Commerce in China
Andrea Beltramello,Siemens Energy AG
Filomena Chirico,European Digital Rights
Filomena Chirico,epicenter.works - Plattform Grundrechtspolitik
Filomena Chirico,Access Now
Katherine Power,Irish Farmers' Association
Florian Denis,World Economic Forum
Katherine Power,World Economic Forum
Katherine Power,Siemens Energy AG
Damyana Stoynova,Център за изследване на демокрацията / Center for the Study of Democracy
Helena Braun,out of the blue
Walter Goetz,Airport Regions Council
Gaëlle Michelier,Airport Regions Council
Thierry Breton (Commissioner),Axel Springer SE
Filomena Chirico,Avaaz Foundation
Anthony Whelan,Ericsson
Filomena Chirico,Duck Duck Go, Inc.
Anthony Whelan,European Digital Rights
Anthony Whelan,Workday
Kurt Vandenberghe,MEDICINES FOR EUROPE
Valdis Dombrovskis (Executive Vice-President),EUROPEAN TRADE UNION CONFEDERATION
Thierry Breton (Commissioner),EU-Japan Centre for Industrial Cooperation
Florian Denis,Euronext
Lucrezia Busa,Deutsche Bank AG
Wojtek Talko,Defend Democracy
Daniel Braun,Defend Democracy
Marius  Vaščega ,European Industrial Hemp Association
Věra Jourová (Vice-President),Stichting Free Press Unlimited
Frans Timmermans (Executive Vice-President),BASF SE
Frans Timmermans (Executive Vice-President),European Chemical Industry Council
Diederik Samsom,Trinomics B.V.
Diederik Samsom,Aedes vereniging van woningcorporaties
Andrea Beltramello,WindEurope
Estelle Göger,Allianz SE
Carmen Preising,Funding Fish
Carmen Preising,Seas At Risk
Carmen Preising,OCEANA
Adela Kabrtova,System Engineering Solutions 37 AB
Mateja Munda,System Engineering Solutions 37 AB
Adela Kabrtova,Kreab
Mateja Munda,Kreab
Gaëlle Michelier,DASSAULT AVIATION
Fabrice Comptour,Ericsson
Valdis Dombrovskis (Executive Vice-President),European Entrepreneurs CEA-PME
Lucia Caudet,Bureau Européen des Unions de Consommateurs
Lukas Visek,IMAGINE Foundation
Lukas Visek,Animal Task Force
Diederik Samsom,Centre on European Relations (Scotland)
Estela Pineiro-Kruik,Volt Europa
Diederik Samsom,Volt Europa
Helena Braun,Environmental Defense Fund Europe
Stefanie Hiesinger,Environmental Defense Fund Europe
Diederik Samsom,Environmental Defense Fund Europe
Maroš Šefčovič (Vice-President),Eurocities
Estelle Göger,OXFAM INTERNATIONAL EU ADVOCACY OFFICE
Michael Hager,Airbus
Katherine Power,European Geothermal Energy Council
Renaud Savignat,Crisis Action
Thierry Breton (Commissioner),Danone
Eszter Batta,Danone
Annukka Ojala,IMAGINE Foundation
Elzbieta Lukaniuk,EUROTRAN Conseil
Johannes Noack,Transparency International Liaison Office to the European Union
Johannes Noack,Human Rights Watch
Wioletta Dunin-Majewska,Ocean Energy Europe
Anthony Whelan,InterDigital, Inc.
Anthony Whelan,Lysios Public Affairs
Kim Jorgensen,DFDS A/S
Alina-Stefania Ujupan,DFDS A/S
Lucrezia Busa,IP2Innovate
Werner Stengg,DeepMind Technologies Limited
Kim Jorgensen,DFDS A/S
Diederik Samsom,Robert Bosch GmbH
Daniel Mes,Robert Bosch GmbH
Filomena Chirico,European Digital Rights
Daniel Mes,Tesla Motors Netherlands B.V.
Sarah Nelen,Tesla Motors Netherlands B.V.
Camilla Bursi,European Chemical Industry Council
Virginijus Sinkevičius (Commissioner),European Chemical Industry Council
Janusz Wojciechowski (Commissioner),Stowarzyszenie Rzeźników i Wędliniarzy RP
Magdalena Majerczyk,Stowarzyszenie Rzeźników i Wędliniarzy RP
Janusz Wojciechowski (Commissioner),Związek Polskie Mięso
Magdalena Majerczyk,Związek Polskie Mięso
Janusz Wojciechowski (Commissioner),POLSKI ZWIĄZEK HODOWCÓW I PRODUCENTÓW BYDŁA MIĘSNEGO
Magdalena Majerczyk,POLSKI ZWIĄZEK HODOWCÓW I PRODUCENTÓW BYDŁA MIĘSNEGO
Janusz Wojciechowski (Commissioner),Unia Producentów i Pracodawców Przemysłu Mięsnego
Magdalena Majerczyk,Unia Producentów i Pracodawców Przemysłu Mięsnego
Janusz Wojciechowski (Commissioner),Polskie Zrzeszenie Producentów Bydła Mięsnego
Magdalena Majerczyk,Polskie Zrzeszenie Producentów Bydła Mięsnego
Helena Braun,Tetra Pak Group
Pablo Fabregas Martinez,Transport and Environment (European Federation for Transport and Environment)
Elzbieta Lukaniuk,Transport and Environment (European Federation for Transport and Environment)
Tove Ernst,European Organisation for Research and Treatment of Cancer
Daniel Braun,Avaaz Foundation
Thierry Breton (Commissioner),Ericsson
Fabrice Comptour,Ericsson
Valere Moutarlier,Ericsson
Werner Stengg,TikTok Technology Ltd
Věra Jourová (Vice-President),Discovery Corporate Services Ltd
Per Haugaard,Chamber of Commerce of the United States of America
Adam Romanowski,KIC InnoEnergy SE
Riccardo Maggi,European Public Real Estate Association
Antoine Colombani,Third Generation Environmentalism Ltd
Nicolas Schmit (Commissioner),Euclid Network
Anouk Faber,Euclid Network
Christoph Nerlich,Euclid Network
Nicolas Schmit (Commissioner),Social Economy Europe
Anouk Faber,Social Economy Europe
Christoph Nerlich,Social Economy Europe
Nicolas Schmit (Commissioner),MONDRAGON CORPORACION COOPERATIVA S. COOP
Anouk Faber,MONDRAGON CORPORACION COOPERATIVA S. COOP
Christoph Nerlich,MONDRAGON CORPORACION COOPERATIVA S. COOP
Nicolas Schmit (Commissioner),GIRLEEK
Anouk Faber,GIRLEEK
Christoph Nerlich,GIRLEEK
Nicolas Schmit (Commissioner),Public Private People Partnership Digital Innovation Hub
Anouk Faber,Public Private People Partnership Digital Innovation Hub
Christoph Nerlich,Public Private People Partnership Digital Innovation Hub
Nicolas Schmit (Commissioner),Reach for Change
Anouk Faber,Reach for Change
Christoph Nerlich,Reach for Change
Nicolas Schmit (Commissioner),Politecnico di Milano
Anouk Faber,Politecnico di Milano
Christoph Nerlich,Politecnico di Milano
Nicolas Schmit (Commissioner),Reuse and Recycling European Union Social Enterprises
Anouk Faber,Reuse and Recycling European Union Social Enterprises
Christoph Nerlich,Reuse and Recycling European Union Social Enterprises
Diederik Samsom,Huawei Technologies
Daniel Mes,Huawei Technologies
Arto Virtanen,Ambitious.Africa
Helena Braun,European Chemical Industry Council
Wioletta Dunin-Majewska,WindEurope
Agnieszka Skonieczna,Reach for Change
Agnieszka Skonieczna,Reuse and Recycling European Union Social Enterprises
Agnieszka Skonieczna,MONDRAGON CORPORACION COOPERATIVA S. COOP
Agnieszka Skonieczna,Public Private People Partnership Digital Innovation Hub
Agnieszka Skonieczna,Politecnico di Milano
Agnieszka Skonieczna,Social Economy Europe
Agnieszka Skonieczna,Euclid Network
Agnieszka Skonieczna,GIRLEEK
Margrethe Vestager (Executive Vice-President),International Press Institute
Margrethe Vestager (Executive Vice-President),Committee to Protect Journalists
Margrethe Vestager (Executive Vice-President),Global Forum for Media Development
